,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
31,"frozenset({'COBB', 'INDIVIDUAL'})",frozenset({'Social Security Administration'}),0.03394433129667346,0.36591989137813985,0.027834351663272233,0.82,2.2409276437847865,1.0,0.015413445642289888,3.5226672701214445,0.57321358174931,0.07481751824817519,0.7161241970021412,0.4480333951762523
32,"frozenset({'Department of Health and Human Services', 'CORPORATE NOT TAX EXEMPT'})",frozenset({'DEKALB'}),0.032586558044806514,0.12287847929395791,0.02376103190767142,0.7291666666666667,5.934046961325968,1.0,0.019756845209701304,3.238602537991541,0.8594887218045112,0.18041237113402062,0.6912248452012385,0.4612684162062616
33,"frozenset({'DEKALB', 'CORPORATE NOT TAX EXEMPT'})",frozenset({'Department of Health and Human Services'}),0.031907671418873046,0.16836388323150034,0.02376103190767142,0.7446808510638299,4.423043925875087,1.0,0.018388932442715198,3.2572414573432913,0.7994189541174115,0.13461538461538464,0.6929917498914461,0.4429049416609472
34,"frozenset({'FULTON', 'Department of Defense'})",frozenset({'CORPORATE TAX EXEMPT'}),0.03598099117447386,0.04412763068567549,0.029192124915139173,0.8113207547169812,18.385776487663282,1.0,0.02760436902488744,5.066123557365921,0.9809040288241074,0.5733333333333334,0.8026104202401373,0.7364296081277214
35,"frozenset({'FULTON', 'CORPORATE TAX EXEMPT'})",frozenset({'Department of Defense'}),0.029192124915139173,0.18058384249830278,0.029192124915139173,1.0,5.537593984962406,1.0,0.0239204988272729,inf,0.8440559440559442,0.16165413533834588,1.0,0.5808270676691729
36,"frozenset({'Department of Defense', 'CORPORATE TAX EXEMPT'})",frozenset({'FULTON'}),0.03394433129667346,0.2545824847250509,0.029192124915139173,0.86,3.37808,1.0,0.020550492711301736,5.324410823392493,0.728709408553825,0.11256544502617802,0.8121857923497267,0.48733333333333334
37,"frozenset({'OTHER', 'DEKALB'})",frozenset({'Department of Health and Human Services'}),0.017651052274270197,0.16836388323150034,0.014256619144602852,0.8076923076923077,4.797301488833747,1.0,0.011284819440584517,4.324507807196198,0.8057722052193373,0.08300395256916997,0.7687598116169545,0.4461848635235732
38,"frozenset({'PRIVATE INSTITUTION OF HIGHER EDUCATION', 'Department of Health and Human Services'})",frozenset({'DEKALB'}),0.015614392396469789,0.12287847929395791,0.015614392396469789,1.0,8.138121546961326,1.0,0.013695719603692442,inf,0.8910344827586206,0.12707182320441987,1.0,0.56353591160221
39,"frozenset({'PRIVATE INSTITUTION OF HIGHER EDUCATION', 'DEKALB'})",frozenset({'Department of Health and Human Services'}),0.015614392396469789,0.16836388323150034,0.015614392396469789,1.0,5.939516129032258,1.0,0.012985492658299722,inf,0.8448275862068965,0.09274193548387097,1.0,0.5463709677419355
40,"frozenset({'DEKALB', 'Social Security Administration'})",frozenset({'INDIVIDUAL'}),0.016293279022403257,0.4453496266123557,0.016293279022403257,1.0,2.245426829268293,1.0,0.009037073293485038,inf,0.5638371290545204,0.036585365853658534,1.0,0.5182926829268293
