,support,itemsets
130,0.0047522063815342835,frozenset({'GEORGIA DEPARTMENT OF COMMUNITY HEALTH'})
131,0.004073319755600814,frozenset({'GEORGIA DEPARTMENT OF LABOR'})
132,0.032586558044806514,frozenset({'GEORGIA DEPARTMENT OF TRANSPORTATION'})
133,0.018329938900203666,frozenset({'GEORGIA DEPT OF EDUCATION'})
134,0.010862186014935505,frozenset({'GEORGIA EMERGENCY MANAGEMENT AND HOMELAND SECURITY AGENCY'})
135,0.008825526137135099,frozenset({'GEORGIA ENVIRONMENTAL FINANCE AUTHORITY'})
136,0.002036659877800407,frozenset({'GEORGIA GWINNETT COLLEGE'})
137,0.0013577732518669382,"frozenset({'GEORGIA HAP ADMINISTRATORS, INC.'})"
138,0.0006788866259334691,frozenset({'GEORGIA HIGHLANDS MEDICAL SERVICE INC'})
139,0.002036659877800407,frozenset({'GEORGIA HOUSING & FINANCE AUTHORITY'})
140,0.0006788866259334691,frozenset({'GEORGIA INSTITUTE OF TECHNOLOGY'})
141,0.0006788866259334691,frozenset({'GEORGIA MOUNTAINS HEALTH SERVICES INC'})
142,0.0006788866259334691,frozenset({'GEORGIA PORTS AUTHORITY'})
143,0.0033944331296673455,frozenset({'GEORGIA POWER COMPANY'})
144,0.0006788866259334691,frozenset({'GEORGIA REGIONAL TRANSPORTATION AUTHORITY'})
145,0.0027155465037338763,frozenset({'GEORGIA SOUTHERN UNIVERSITY'})
146,0.002036659877800407,frozenset({'GEORGIA STATE UNIVERSITY'})
147,0.028513238289205704,frozenset({'GEORGIA TECH APPLIED RESEARCH CORP'})
148,0.006109979633401222,frozenset({'GEORGIA TECH RESEARCH CORP'})
149,0.0006788866259334691,frozenset({'GEORGIA TRANSMISSION CORPORATION (AN ELECTRIC MEMBERSHIP CORPORATION)'})
150,0.006109979633401222,frozenset({'GEORGIA VOCATIONAL REHABILITATION AGENCY'})
151,0.0006788866259334691,frozenset({'GILBANE FEDERAL'})
152,0.0006788866259334691,frozenset({'GLOBAL DEFENSE SOLUTIONS LP'})
153,0.0013577732518669382,"frozenset({'GOLDBELT C6, LLC'})"
154,0.0006788866259334691,frozenset({'GOLDBELT SECURITY LLC'})
155,0.0013577732518669382,"frozenset({'GOODWILL INDUSTRIES OF NORTH GEORGIA, INC.'})"
156,0.0006788866259334691,frozenset({'GOVSTRIVE LLC'})
157,0.0006788866259334691,frozenset({'GRAFTON BIOSCIENCES INC.'})
158,0.0006788866259334691,frozenset({'GREEN POWER EMC'})
159,0.004073319755600814,frozenset({'GULFSTREAM AEROSPACE CORPORATION'})
160,0.0006788866259334691,frozenset({'GWINNETT TECHNICAL COLLEGE'})
161,0.014256619144602852,frozenset({'General Services Administration'})
162,0.0006788866259334691,"frozenset({'HCBECK, LTD.'})"
